t,com_des_y,com_ff_y,com_x,com_y,com_z,margin_full,margin_left,margin_right,pelvis_roll,pelvis_pitch,Fn_left,Fn_right,slip_left,slip_right,n_contact_left,n_contact_right,sat_count,q_l_hip_yaw,q_l_hip_roll,q_l_hip_pitch,q_l_knee_pitch,q_l_ankle_pitch,q_l_ankle_roll,q_r_hip_yaw,q_r_hip_roll,q_r_hip_pitch,q_r_knee_pitch,q_r_ankle_pitch,q_r_ankle_roll,qd_l_hip_yaw,qd_l_hip_roll,qd_l_hip_pitch,qd_l_knee_pitch,qd_l_ankle_pitch,qd_l_ankle_roll,qd_r_hip_yaw,qd_r_hip_roll,qd_r_hip_pitch,qd_r_knee_pitch,qd_r_ankle_pitch,qd_r_ankle_roll,tau_l_hip_yaw,tau_l_hip_roll,tau_l_hip_pitch,tau_l_knee_pitch,tau_l_ankle_pitch,tau_l_ankle_roll,tau_r_hip_yaw,tau_r_hip_roll,tau_r_hip_pitch,tau_r_knee_pitch,tau_r_ankle_pitch,tau_r_ankle_roll
0.04,0,0,0.00307296,-6.73679e-18,0.201035,0.0330929,-0.0275,-0.0275,-4.54357e-18,-0.00280175,10.1043,10.1043,6.22902e-08,6.22902e-08,4,4,0,6.56435e-18,6.84515e-18,-0.100003,0.201739,-0.100667,1.00224e-17,-5.21114e-18,-1.9336e-17,-0.100003,0.201739,-0.100667,-5.59438e-18,3.729e-16,3.07619e-16,-1.8223e-07,1.8635e-07,-1.05741e-05,-1.42388e-15,-6.65351e-17,-2.5819e-16,-1.8223e-07,1.8635e-07,-1.05741e-05,1.86707e-15,-2.28382e-16,-7.9775e-16,0.000151621,-0.0782773,0.0200184,-2.90841e-16,1.67883e-16,1.08972e-15,0.000151621,-0.0782773,0.0200184,1.65901e-16
0.042,0,0,0.00307296,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-3.82033e-18,-0.00280174,10.1043,10.1043,6.5166e-08,6.5166e-08,4,4,0,7.21068e-18,7.22054e-18,-0.100003,0.201739,-0.100667,6.96797e-18,-5.20858e-18,-1.96018e-17,-0.100003,0.201739,-0.100667,-1.98416e-18,3.23164e-16,1.87696e-16,-1.7113e-07,-3.9968e-07,-1.22912e-05,-1.52723e-15,1.28095e-18,-1.32877e-16,-1.7113e-07,-3.9968e-07,-1.22912e-05,1.80511e-15,-2.49861e-16,-5.9303e-16,0.000151621,-0.078277,0.0200192,-1.94692e-16,1.65778e-16,9.05464e-16,0.000151621,-0.078277,0.0200192,2.8863e-17
0.044,0,0,0.00307296,-1.17894e-17,0.201035,0.0330929,-0.0275,-0.0275,-3.88074e-18,-0.00280172,10.1043,10.1043,6.79878e-08,6.79878e-08,4,4,0,7.8724e-18,8.05211e-18,-0.100003,0.201739,-0.100667,3.94837e-18,-5.19263e-18,-2.03385e-17,-0.100003,0.201739,-0.100667,8.65844e-19,3.30858e-16,4.15783e-16,-1.59892e-07,-9.73082e-07,-1.39479e-05,-1.5098e-15,7.9748e-18,-3.68353e-16,-1.59892e-07,-9.73082e-07,-1.39479e-05,1.425e-15,-2.62191e-16,-4.5316e-16,0.000151619,-0.0782765,0.0200201,-9.53659e-17,1.56076e-16,7.55511e-16,0.000151619,-0.0782765,0.0200201,-7.48319e-17
0.046,0,0,0.00307296,-1.01052e-17,0.201035,0.0330929,-0.0275,-0.0275,-3.59584e-18,-0.0028017,10.1043,10.1043,7.07508e-08,7.07508e-08,4,4,0,8.22554e-18,8.48123e-18,-0.100003,0.201739,-0.100667,1.03602e-18,-5.2093e-18,-2.07826e-17,-0.100003,0.201739,-0.100667,3.97942e-18,1.76572e-16,2.14558e-16,-1.48542e-07,-1.5329e-06,-1.55417e-05,-1.45618e-15,-8.33791e-18,-2.22061e-16,-1.48542e-07,-1.5329e-06,-1.55417e-05,1.55679e-15,-2.83135e-16,-7.65552e-16,0.000151616,-0.078276,0.0200212,-6.07502e-18,1.54647e-16,1.07437e-15,0.000151616,-0.078276,0.0200212,-1.3204e-16
0.048,0,0,0.00307296,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-3.2288e-18,-0.00280168,10.1043,10.1043,7.34501e-08,7.34501e-08,4,4,0,8.59372e-18,8.70763e-18,-0.100003,0.201739,-0.100667,-1.90867e-18,-5.29762e-18,-2.09739e-17,-0.100003,0.201739,-0.100667,6.99606e-18,1.84088e-16,1.13202e-16,-1.37108e-07,-2.07822e-06,-1.70707e-05,-1.47234e-15,-4.41602e-17,-9.56387e-17,-1.37108e-07,-2.07822e-06,-1.70707e-05,1.50832e-15,-2.71829e-16,-5.24833e-16,0.000151612,-0.0782755,0.0200223,7.73045e-17,1.57463e-16,9.0333e-16,0.000151612,-0.0782755,0.0200223,-2.35256e-16
0.05,0,0,0.00307296,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-2.65843e-18,-0.00280164,10.1043,10.1043,7.60816e-08,7.60816e-08,4,4,0,8.90169e-18,8.62957e-18,-0.100003,0.201739,-0.100667,-4.2277e-18,-5.30717e-18,-2.08629e-17,-0.100003,0.201739,-0.100667,1.02603e-17,1.53985e-16,-3.90321e-17,-1.25614e-07,-2.60818e-06,-1.85329e-05,-1.15952e-15,-4.7723e-18,5.54793e-17,-1.25614e-07,-2.60818e-06,-1.85329e-05,1.6321e-15,-2.83942e-16,-4.03891e-16,0.000151607,-0.0782749,0.0200235,1.66848e-16,1.65197e-16,7.49745e-16,0.000151607,-0.0782749,0.0200235,-3.22148e-16
0.052,0,0,0.00307296,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.33321e-18,-0.00280161,10.1043,10.1043,7.86408e-08,7.86408e-08,4,4,0,9.08024e-18,7.87484e-18,-0.100003,0.201739,-0.100667,-6.68355e-18,-5.03353e-18,-2.01625e-17,-0.100003,0.201739,-0.100667,1.3758e-17,8.92794e-17,-3.77363e-16,-1.14086e-07,-3.12197e-06,-1.99264e-05,-1.22792e-15,1.36821e-16,3.50239e-16,-1.14086e-07,-3.12197e-06,-1.99264e-05,1.74885e-15,-2.88908e-16,-2.09697e-16,0.0001516,-0.0782743,0.0200247,2.13135e-16,1.59892e-16,5.55971e-16,0.0001516,-0.0782743,0.0200247,-4.29287e-16
0.054,0,0,0.00307297,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.18907e-18,-0.00280157,10.1043,10.1043,8.1124e-08,8.1124e-08,4,4,0,9.25312e-18,7.90677e-18,-0.100003,0.201739,-0.100668,-8.6643e-18,-4.77738e-18,-2.01743e-17,-0.100003,0.201739,-0.100668,1.672e-17,8.64369e-17,1.59635e-17,-1.02549e-07,-3.61884e-06,-2.12499e-05,-9.90375e-16,1.28075e-16,-5.91819e-18,-1.02549e-07,-3.61884e-06,-2.12499e-05,1.48103e-15,-2.8508e-16,2.39325e-16,0.000151592,-0.0782737,0.0200261,2.91902e-16,1.31585e-16,1.63486e-16,0.000151592,-0.0782737,0.0200261,-5.42908e-16
0.056,0,0,0.00307297,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.02616e-18,-0.00280152,10.1043,10.1043,8.35273e-08,8.35273e-08,4,4,0,9.5307e-18,7.78296e-18,-0.100003,0.201739,-0.100668,-1.06738e-17,-4.46236e-18,-2.00177e-17,-0.100003,0.201739,-0.100668,1.89797e-17,1.38788e-16,-6.19057e-17,-9.10283e-08,-4.09807e-06,-2.25018e-05,-1.00474e-15,1.5751e-16,7.82954e-17,-9.10283e-08,-4.09807e-06,-2.25018e-05,1.12983e-15,-2.89863e-16,-2.57321e-16,0.000151584,-0.078273,0.0200275,3.33644e-16,1.25142e-16,6.12687e-16,0.000151584,-0.078273,0.0200275,-6.11835e-16
0.058,0,0,0.00307297,-8.42099e-18,0.201035,0.0330929,-0.0275,-0.0275,-1.49765e-18,-0.00280147,10.1043,10.1043,8.58474e-08,8.58474e-08,4,4,0,9.77326e-18,8.04009e-18,-0.100003,0.201739,-0.100668,-1.28018e-17,-4.0817e-18,-2.0203e-17,-0.100003,0.201739,-0.100668,2.15983e-17,1.2128e-16,1.28565e-16,-7.95474e-08,-4.559e-06,-2.3681e-05,-1.06401e-15,1.90328e-16,-9.26402e-17,-7.95474e-08,-4.559e-06,-2.3681e-05,1.30933e-15,-3.05621e-16,-1.55472e-16,0.000151574,-0.0782723,0.020029,3.94997e-16,1.11513e-16,5.0186e-16,0.000151574,-0.0782723,0.020029,-6.53485e-16
0.06,0,0,0.00307298,-1.01052e-17,0.201035,0.0330929,-0.0275,-0.0275,-1.62642e-18,-0.00280142,10.1043,10.1043,8.80808e-08,8.80808e-08,4,4,0,9.80866e-18,7.88651e-18,-0.100003,0.201739,-0.100668,-1.45971e-17,-3.70342e-18,-1.9948e-17,-0.100003,0.201739,-0.100668,2.38256e-17,1.77007e-17,-7.67881e-17,-6.81298e-08,-5.00102e-06,-2.47864e-05,-8.97647e-16,1.89142e-16,1.27495e-16,-6.81298e-08,-5.00102e-06,-2.47864e-05,1.11363e-15,-3.10413e-16,-4.03226e-16,0.000151564,-0.0782716,0.0200306,4.6325e-16,9.54351e-17,7.22839e-16,0.000151564,-0.0782716,0.0200306,-7.45406e-16
0.062,0,0,0.00307298,-1.01052e-17,0.201035,0.0330929,-0.0275,-0.0275,-2.32932e-18,-0.00280136,10.1043,10.1043,9.02248e-08,9.02248e-08,4,4,0,9.87183e-18,8.05364e-18,-0.100003,0.201739,-0.100668,-1.61595e-17,-3.30277e-18,-1.99451e-17,-0.100003,0.201739,-0.100668,2.52944e-17,3.15871e-17,8.35629e-17,-5.67984e-08,-5.42359e-06,-2.58172e-05,-7.81225e-16,2.00322e-16,1.44032e-18,-5.67984e-08,-5.42359e-06,-2.58172e-05,7.34392e-16,-2.96772e-16,-1.39824e-16,0.000151552,-0.0782708,0.0200322,5.04726e-16,8.4255e-17,4.37764e-16,0.000151552,-0.0782708,0.0200322,-7.97657e-16
